ion,airwave,ritzwave,relint
Ne II,4298.094,4298.0971,12
Ne I,4303.248,4303.254,300
Ne I,4303.695,4303.72,10
Ne I,4303.955,4303.96,50
Ne I,4306.2508,4306.252,700
Ne I,4310.130,4310.13,20
Ne VIII,4313.8,4313.8,100
Ne I,4314.110,4314.11,10
Ne I,4314.695,4314.70,300
Ne I,4316.008,4316.005,150
Ne I,4318.834,4318.800,50
Ne I,4319.511,4319.51,10
Ne I,4321.492,4321.49,20
Ne II,4322.371,4322.372,160
Ne II,4322.742,4322.7454,140
Ne II,4324.62,4324.6132,30
Ne II,4325.232,4325.235,120
Ne I,4327.265,4327.27,100
Ne VIII,4331.8,4330.8,200
Ne VIII,4331.8,4332.3,200
Ne I,4334.1267,4334.1253,700
Ne I,4336.2268,4336.2251,500
Ne VIII,4337.72,4337.72,400
Ne I,4338.200,4338.20,20
Ne VII,4339.5,4339.4,100
Ne II,4339.8209,4339.8191,160
Ne VIII,4339.99,4339.99,400
Ne VI,,4340,
Ne VI,,4340,
Ne VIII,4340,4340,400
Ne VIII,4340,4340,400
Ne II,4340.020,4340.0180,40
Ne I,4340.256,4340.25,20
Ne I,4340.420,4340.42,20
Ne VIII,4340.9,4340.6,400
Ne VIII,4340.9,4340.6,400
Ne VIII,4340.9,4340.7,400
Ne VIII,,4341,
Ne VIII,,4341,
Ne VIII,,4341,
Ne VIII,,4341,
Ne II,4341.514,4341.5126,160
Ne II,4342.198,4342.2068,22
Ne VIII,,4345,
Ne I,4345.479,4345.47,20
Ne I,4345.479,4345.47,20
Ne I,4345.762,4345.75,10
Ne I,4346.036,4346.01,150
Ne II,4346.239,4346.237,160
Ne II,4349.135,4349.134,40
Ne I,4357.298,4357.29,20
Ne I,4357.918,4357.90,50
Ne I,4358.816,4358.81,20
Ne I,4362.690,4362.69,300
Ne I,4363.228,4363.23,20
Ne I,4363.524,4363.524,700
Ne II,,4365.632,
Ne I,4365.705,4365.71,10
Ne II,4365.745,4365.7441,160
